id,original_language,original_title,Popularity,release_date,title,AVG Rating,Vote Count,Genre,release_year
395814,en,Rememory,7.356,2017-09-08,Rememory,6.1,210,"['Science Fiction', 'Drama', 'Other']",2017
262982,en,The Hollow Point,7.322,2016-12-16,The Hollow Point,6.1,81,"['Action', 'Drama', 'Thriller']",2016
334532,en,100 Streets,7.317,2016-06-08,100 Streets,6.2,91,['Drama'],2016
441829,en,Team Thor: Part 2,7.315,2017-02-14,Team Thor: Part 2,7.4,126,"['Science Fiction', 'Comedy', 'Fantasy', 'Other']",2017
345923,en,All I See Is You,7.312,2017-10-27,All I See Is You,4.9,311,"['Other', 'Thriller']",2017
301334,en,Una,7.304,2017-10-06,Una,6.4,103,"['Drama', 'Thriller']",2017
340442,en,Pilgrimage,7.298,2017-08-11,Pilgrimage,5.9,126,"['Action', 'Adventure', 'Drama']",2017
475946,en,ブレードランナー ブラックアウト 2022,7.284,2017-09-26,Blade Runner: Black Out 2022,7.4,146,"['Action', 'Animation', 'Science Fiction']",2017
444902,en,Dirty Dancing,7.283,2017-05-24,Dirty Dancing,5.2,238,"['Other', 'Drama', 'Romance', 'Other']",2017
412000,en,Small Town Crime,7.272,2018-01-19,Small Town Crime,6.6,97,"['Thriller', 'Crime', 'Other']",2018
393732,en,Mean Dreams,7.261,2017-03-17,Mean Dreams,6.6,57,"['Drama', 'Thriller']",2017
316021,en,Frank & Lola,7.256,2016-12-09,Frank & Lola,5.6,86,"['Drama', 'Other', 'Romance']",2016
402529,en,All Eyez on Me,7.249,2017-06-16,All Eyez on Me,6.4,695,"['Drama', 'Other']",2017
374464,fr,Planetarium,7.246,2017-08-11,Planetarium,4.5,108,"['Drama', 'Fantasy', 'Other']",2017
415401,en,The Party,7.233,2018-02-16,The Party,6.4,229,"['Comedy', 'Drama']",2018
426230,en,Band Aid,7.229,2017-06-02,Band Aid,6.5,83,"['Comedy', 'Drama', 'Other']",2017
448449,en,Whitney: Can I Be Me,7.228,2017-04-27,Whitney: Can I Be Me,6.3,104,"['Other', 'Other']",2017
378111,de,A Stork's Journey,7.192,2017-06-30,A Stork's Journey,5.3,60,"['Family', 'Fantasy', 'Adventure', 'Animation', 'Comedy']",2017
397442,en,Win It All,7.186,2017-03-11,Win It All,5.7,149,['Comedy'],2017
467239,en,Temple,7.186,2017-09-01,Temple,3.9,88,"['Other', 'Horror']",2017
390056,en,Rebel in the Rye,7.178,2017-09-15,Rebel in the Rye,6.9,102,"['Drama', 'Romance']",2017
446827,en,Prodigy,7.178,2017-03-04,Prodigy,6.7,43,"['Thriller', 'Drama', 'Science Fiction']",2017
396810,en,The Last Word,7.17,2017-03-03,The Last Word,6.6,186,"['Comedy', 'Drama']",2017
378108,ja,この世界の片隅に,7.168,2017-06-20,In This Corner of the World,8.1,178,"['Drama', 'Animation']",2017
419472,en,The Polka King,7.165,2017-01-22,The Polka King,5.6,125,['Comedy'],2017
426030,en,Finding Your Feet,7.161,2018-03-30,Finding Your Feet,7.2,64,"['Comedy', 'Drama', 'Romance', 'Other']",2018
390059,en,Permission,7.122,2018-02-09,Permission,4.8,69,"['Comedy', 'Romance', 'Drama']",2018
404378,en,A Street Cat Named Bob,7.12,2016-11-18,A Street Cat Named Bob,7.5,500,"['Drama', 'Family', 'Comedy']",2016
398174,en,Film Stars Don't Die in Liverpool,7.118,2017-09-01,Film Stars Don't Die in Liverpool,6.7,74,"['Romance', 'Drama']",2017
472338,en,Victor Crowley,7.118,2017-08-22,Victor Crowley,5.7,44,"['Comedy', 'Horror']",2017
362584,ja,傷物語〈Ⅱ熱血篇〉,7.101,2016-10-22,Kizumonogatari Part 2: Nekketsu,8.4,38,"['Animation', 'Fantasy', 'Other']",2016
433244,en,Clinical,7.088,2017-01-13,Clinical,5.3,199,"['Thriller', 'Horror']",2017
416166,en,The Institute,7.08,2017-03-03,The Institute,3.9,60,"['Thriller', 'Other']",2017
428446,en,Walking Out,7.077,2017-01-21,Walking Out,5.9,66,"['Adventure', 'Drama', 'Thriller']",2017
30020,fa,طعم گيلاس,7.076,1997-09-28,Taste of Cherry,7.3,139,['Drama'],1997
563710,en,Angela's Christmas,7.06,2017-12-08,Angela's Christmas,6.4,73,"['Animation', 'Family']",2017
449674,en,Louis C.K. 2017,7.059,2017-04-04,Louis C.K. 2017,7.4,131,['Comedy'],2017
366644,zh,小门神,7.058,2017-09-01,The Guardian Brothers,5.8,49,"['Animation', 'Family', 'Fantasy']",2017
424998,en,The Case for Christ,7.05,2017-04-07,The Case for Christ,6.8,119,['Drama'],2017
390054,en,Sand Castle,7.035,2017-04-21,Sand Castle,6.4,348,"['Drama', 'Other']",2017
451156,en,Infidelity in Suburbia,7.032,2017-02-25,Infidelity in Suburbia,4.3,13,['Thriller'],2017
411019,en,I Am Not Your Negro,7.026,2017-02-03,I Am Not Your Negro,8.1,196,['Other'],2017
401544,en,Death Race 2050,7.018,2017-01-17,Death Race 2050,3.8,75,"['Action', 'Comedy', 'Science Fiction']",2017
461955,en,Rakka,7.017,2017-06-14,Rakka,7.1,89,"['Action', 'Science Fiction', 'Horror']",2017
439154,fr,Sage femme,7.015,2017-07-28,The Midwife,6.0,66,['Drama'],2017
436459,en,Almost Friends,7.001,2017-11-17,Almost Friends,6.1,81,"['Drama', 'Comedy']",2017
426238,en,Beach Rats,7.001,2017-08-25,Beach Rats,5.9,262,"['Drama', 'Romance']",2017
400020,fr,Le jeune Karl Marx,7.0,2017-06-11,The Young Karl Marx,7.0,126,"['Other', 'Drama']",2017
457962,en,Shimmer Lake,6.999,2017-06-09,Shimmer Lake,6.0,177,"['Thriller', 'Crime', 'Drama', 'Other']",2017
430474,en,Deep,6.982,2017-11-25,Deep,4.9,47,"['Animation', 'Family']",2017
346681,en,Wilson,6.97,2017-03-24,Wilson,5.8,195,['Comedy'],2017
429107,en,Beatriz at Dinner,6.961,2017-06-09,Beatriz at Dinner,5.8,100,"['Comedy', 'Drama']",2017
463015,en,Devil's Whisper,6.958,2017-06-10,Devil's Whisper,5.2,9,['Horror'],2017
463906,en,The Saint,6.958,2017-07-11,The Saint,5.1,133,"['Action', 'Adventure', 'Crime']",2017
428612,en,Strong Island,6.952,2017-01-23,Strong Island,6.6,51,['Other'],2017
375098,en,The Show,6.948,2017-03-11,The Show,5.9,88,['Drama'],2017
486011,en,Like.Share.Follow.,6.947,2017-10-31,Like.Share.Follow.,5.2,65,"['Horror', 'Thriller', 'Romance']",2017
416160,en,The Vault,6.945,2017-09-01,The Vault,4.7,187,"['Horror', 'Thriller']",2017
301372,en,Voice from the Stone,6.941,2017-04-28,Voice from the Stone,5.5,231,"['Drama', 'Other', 'Romance']",2017
447061,en,Red Nose Day Actually,6.938,2017-05-25,Red Nose Day Actually,7.4,130,"['Other', 'Comedy', 'Romance']",2017
253154,en,Imperial Dreams,6.937,2014-01-20,Imperial Dreams,6.7,87,['Drama'],2014
426256,en,Patti Cake$,6.934,2017-08-18,Patti Cake$,7.0,122,['Drama'],2017
414063,fr,Le Fidèle,6.927,2017-10-21,Racer and the Jailbird,6.2,84,"['Crime', 'Thriller', 'Drama']",2017
330947,en,Song to Song,6.923,2017-03-17,Song to Song,5.3,472,"['Drama', 'Other', 'Romance']",2017
419835,en,Crooked House,6.917,2017-12-22,Crooked House,6.4,339,"['Drama', 'Other', 'Crime']",2017
373546,en,Chuck,6.917,2017-05-05,Chuck,6.4,59,['Drama'],2017
431093,en,Everybody Loves Somebody,6.897,2017-02-17,Everybody Loves Somebody,6.5,82,"['Romance', 'Comedy']",2017
432787,en,Fun Mom Dinner,6.885,2017-08-04,Fun Mom Dinner,5.7,116,['Comedy'],2017
483737,en,Totem,6.861,2017-11-10,Totem,4.8,64,['Horror'],2017
433471,en,Lou,6.849,2017-06-16,Lou,7.8,157,"['Family', 'Fantasy', 'Animation']",2017
369202,fi,Bodom,6.849,2017-03-12,Lake Bodom,5.2,92,['Horror'],2017
458354,en,Sleeping Beauties,6.839,2017-07-27,Sleeping Beauties,4.3,4,['Fantasy'],2017
444705,en,Dave Chappelle: The Age of Spin,6.836,2017-03-21,Dave Chappelle: The Age of Spin,7.9,107,['Comedy'],2017
479309,en,The Lost Wife of Robert Durst,6.808,2017-11-04,The Lost Wife of Robert Durst,5.6,5,"['Drama', 'Other', 'Crime', 'Thriller']",2017
375183,en,A Family Man,6.798,2017-07-28,A Family Man,6.8,243,['Drama'],2017
398798,en,The Night Watchmen,6.772,2017-03-04,The Night Watchmen,4.7,47,"['Comedy', 'Horror']",2017
369697,en,Norman: The Moderate Rise and Tragic Fall of a New York Fixer,6.755,2017-04-14,Norman: The Moderate Rise and Tragic Fall of a New York Fixer,5.5,95,"['Comedy', 'Thriller', 'Drama']",2017
433245,en,Take the 10,6.731,2017-01-20,Take the 10,5.3,82,['Comedy'],2017
423236,is,Ég Man Þig,6.721,2017-11-10,I Remember You,6.4,64,"['Drama', 'Other', 'Thriller', 'Horror']",2017
337703,fr,La tortue rouge,6.697,2017-01-20,The Red Turtle,7.6,555,"['Animation', 'Drama', 'Fantasy', 'Family']",2017
459068,en,Darkness Rising,6.693,2017-06-30,Darkness Rising,3.8,36,['Horror'],2017
466485,en,Conor McGregor: Notorious,6.663,2017-11-08,Conor McGregor: Notorious,7.6,67,['Other'],2017
434873,en,It Stains the Sands Red,6.627,2017-06-20,It Stains the Sands Red,5.2,89,"['Comedy', 'Horror', 'Drama']",2017
420707,en,Cage Dive,6.625,2017-08-11,Cage Dive,4.4,143,"['Horror', 'Drama', 'Thriller', 'Other']",2017
324538,en,Damascus Cover,6.624,2018-07-20,Damascus Cover,5.5,24,"['Thriller', 'Other']",2018
423414,en,Last Rampage,6.611,2017-09-22,Last Rampage,6.0,13,"['Drama', 'Crime', 'Thriller']",2017
291869,en,I Am Michael,6.594,2015-01-29,I Am Michael,5.9,124,['Drama'],2015
488223,en,Dave Chappelle: Equanimity,6.576,2017-12-30,Dave Chappelle: Equanimity,7.6,74,['Comedy'],2017
353728,en,Closet Monster,6.547,2016-09-23,Closet Monster,7.2,163,['Drama'],2016
485504,en,El Camino Christmas,6.54,2017-12-08,El Camino Christmas,5.8,133,['Comedy'],2017
458310,en,Hasan Minhaj: Homecoming King,6.538,2017-05-23,Hasan Minhaj: Homecoming King,7.9,63,['Comedy'],2017
410718,en,Before the Flood,6.518,2016-10-21,Before the Flood,7.9,387,"['Other', 'Other']",2016
403368,en,Havenhurst,6.51,2017-02-10,Havenhurst,5.0,61,"['Horror', 'Other', 'Thriller']",2017
429070,fr,Les Fantômes d'Ismaël,6.5,2018-03-23,Ismael's Ghosts,5.7,82,"['Drama', 'Romance', 'Thriller', 'Other']",2018
342472,en,1 Mile To You,6.497,2017-04-07,1 Mile To You,6.6,103,"['Drama', 'Romance']",2017
408873,en,Kings,6.477,2018-04-27,Kings,6.1,64,"['Romance', 'Drama', 'Crime']",2018
330764,fr,Le tout nouveau testament,6.47,2015-12-25,The Brand New Testament,6.6,768,"['Drama', 'Comedy', 'Fantasy']",2015
455675,en,Hickok,6.455,2017-07-07,Hickok,4.8,47,['Other'],2017
470472,en,The Wilde Wedding,6.454,2017-09-15,The Wilde Wedding,5.8,32,['Comedy'],2017
396774,en,Bomb City,6.44,2017-03-31,Bomb City,7.4,76,"['Drama', 'Crime']",2017
468210,en,Sweet Country,6.435,2018-04-06,Sweet Country,6.8,67,"['Drama', 'Other', 'Other']",2018
37100,ja,劇場版 美少女戦士セーラームーンＲ,6.414,2017-01-13,Sailor Moon R: The Movie,7.5,32,"['Animation', 'Comedy', 'Drama', 'Romance']",2017
425591,en,I Don't Feel at Home in This World Anymore,6.411,2017-01-19,I Don't Feel at Home in This World Anymore,6.6,595,"['Comedy', 'Crime', 'Drama', 'Thriller']",2017
427564,en,Scooby-Doo! Shaggy's Showdown,6.387,2017-02-14,Scooby-Doo! Shaggy's Showdown,6.7,30,"['Animation', 'Family', 'Other', 'Comedy', 'Other']",2017
443700,en,Altitude,6.377,2017-04-14,Altitude,4.4,57,"['Action', 'Thriller']",2017
